global_capture,point_index,pulse,x_target_nm,y_target_nm,x_nm,y_nm,peak_intensity_mV
,23,1,-1250000,-750000,0.0,-3779.527559055118,631.7667322834645
,23,2,-1250000,-750000,-9411.909448818898,0.0,236.83562992125985
,23,3,-1250000,-750000,-1882.3818897637796,0.0,631.7667322834645
,24,1,-1000000,-750000,-1882.3818897637796,0.0,631.7667322834645
,24,2,-1000000,-750000,0.0,0.0,236.83562992125985
,24,3,-1000000,-750000,1882.3818897637796,0.0,710.5068897637796
,25,1,-750000,-750000,1882.3818897637796,0.0,631.7667322834645
,25,2,-750000,-750000,5647.145669291339,0.0,236.83562992125985
,25,3,-750000,-750000,-1882.3818897637796,0.0,631.7667322834645
,26,1,-500000,-750000,3764.763779527559,0.0,710.5068897637796
,26,2,-500000,-750000,-3764.763779527559,0.0,236.83562992125985
,26,3,-500000,-750000,-5647.145669291339,-3779.527559055118,631.7667322834645
,27,1,-250000,-750000,-7529.527559055118,0.0,631.7667322834645
,27,2,-250000,-750000,-1882.3818897637796,0.0,315.88336614173227
,27,3,-250000,-750000,0.0,0.0,710.5068897637796
,28,1,0,-750000,0.0,0.0,631.7667322834645
,28,2,0,-750000,-7529.527559055118,0.0,236.83562992125985
,28,3,0,-750000,1882.3818897637796,0.0,631.7667322834645
,29,1,250000,-750000,-3764.763779527559,0.0,631.7667322834645
,29,2,250000,-750000,-1882.3818897637796,0.0,236.83562992125985
,29,3,250000,-750000,3764.763779527559,0.0,710.5068897637796
,30,1,500000,-750000,-1882.3818897637796,-3779.527559055118,631.7667322834645
,30,2,500000,-750000,1882.3818897637796,0.0,236.83562992125985
,30,3,500000,-750000,0.0,-3779.527559055118,710.5068897637796
,31,1,750000,-750000,1882.3818897637796,0.0,710.5068897637796
,31,2,750000,-750000,-1882.3818897637796,0.0,236.83562992125985
,31,3,750000,-750000,-3764.763779527559,-3779.527559055118,631.7667322834645
,32,1,1000000,-750000,-1882.3818897637796,0.0,710.5068897637796
,32,2,1000000,-750000,-3764.763779527559,0.0,236.83562992125985
,32,3,1000000,-750000,-1882.3818897637796,0.0,710.5068897637796
,33,1,1250000,-750000,-5647.145669291339,0.0,631.7667322834645
,33,2,1250000,-750000,-1882.3818897637796,0.0,236.83562992125985
,33,3,1250000,-750000,-1882.3818897637796,0.0,631.7667322834645
,34,1,-1250000,-500000,1882.3818897637796,0.0,631.7667322834645
,34,2,-1250000,-500000,-5647.145669291339,-3779.527559055118,236.83562992125985
,34,3,-1250000,-500000,-1882.3818897637796,0.0,631.7667322834645
,35,1,-1000000,-500000,-3764.763779527559,0.0,631.7667322834645
,35,2,-1000000,-500000,-1882.3818897637796,0.0,236.83562992125985
,35,3,-1000000,-500000,-3764.763779527559,0.0,710.5068897637796
,36,1,-750000,-500000,0.0,0.0,631.7667322834645
,36,2,-750000,-500000,-3764.763779527559,0.0,236.83562992125985
,36,3,-750000,-500000,-5647.145669291339,0.0,631.7667322834645
,37,1,-500000,-500000,0.0,0.0,631.7667322834645
