point_index,num_pulses,x_target_nm,y_target_nm,x_nm_avg,y_nm_avg,peak_intensity_mV_avg
62,3,250000,0,-1254.9212598425197,0.0,78.74015748031496
63,3,500000,0,-2509.8425196850394,0.0,78.74015748031496
64,3,750000,0,-4392.224409448819,0.0,78.74015748031496
65,3,1000000,0,-1254.9212598425197,-1259.8425196850394,78.74015748031496
66,3,1250000,0,627.46062992126,0.0,78.74015748031496
67,3,-1250000,250000,-1254.9212598425197,-1259.8425196850394,78.74015748031496
68,3,-1000000,250000,-5019.68503937008,0.0,78.74015748031496
69,3,-750000,250000,1254.9212598425197,0.0,78.74015748031496
70,3,-500000,250000,-1882.3818897637796,0.0,0.0
71,3,-250000,250000,-1254.9212598425197,0.0,78.74015748031496
72,3,0,250000,-1254.9212598425197,-2519.685039370079,78.74015748031496
73,3,250000,250000,-2509.8425196850394,0.0,78.74015748031496
74,3,500000,250000,1254.9212598425197,0.0,78.74015748031496
75,3,750000,250000,-1254.9212598425197,-1259.8425196850394,78.74015748031496
76,3,1000000,250000,-627.4606299212599,0.0,78.74015748031496
77,3,1250000,250000,-627.4606299212599,0.0,78.74015748031496
78,3,-1250000,500000,-4392.224409448819,0.0,78.74015748031496
79,3,-1000000,500000,-627.4606299212599,-1259.8425196850394,78.74015748031496
80,3,-750000,500000,1882.3818897637796,0.0,78.74015748031496
81,3,-500000,500000,0.0,0.0,78.74015748031496
82,3,-250000,500000,-1254.92125984252,0.0,78.74015748031496
83,3,0,500000,-1254.9212598425197,0.0,78.74015748031496
84,3,250000,500000,-3137.3031496062995,0.0,78.74015748031496
85,3,500000,500000,-2509.8425196850394,0.0,78.74015748031496
86,3,750000,500000,-3137.3031496062995,0.0,78.74015748031496
87,3,1000000,500000,-2509.8425196850394,0.0,78.74015748031496
88,3,1250000,500000,0.0,0.0,78.74015748031496
89,3,-1250000,750000,2509.8425196850394,-1259.8425196850394,78.74015748031496
90,3,-1000000,750000,-2509.8425196850394,0.0,78.74015748031496
91,3,-750000,750000,-1882.3818897637796,-2519.685039370079,78.74015748031496
92,3,-500000,750000,-3137.3031496062995,0.0,78.74015748031496
93,3,-250000,750000,627.4606299212599,0.0,78.74015748031496
94,3,0,750000,0.0,-2519.685039370079,78.74015748031496
95,3,250000,750000,-4392.224409448819,0.0,78.74015748031496
96,3,500000,750000,-2509.8425196850394,-1259.8425196850394,78.74015748031496
97,3,750000,750000,-5647.145669291339,0.0,78.74015748031496
98,3,1000000,750000,-1882.3818897637796,-5039.370078740158,78.74015748031496
99,3,1250000,750000,-3137.3031496062995,0.0,78.74015748031496
100,3,-1250000,1000000,-3137.3031496062995,0.0,78.74015748031496
101,3,-1000000,1000000,-3137.3031496062995,-1259.8425196850394,78.74015748031496
102,3,-750000,1000000,-1254.9212598425197,0.0,78.74015748031496
103,3,-500000,1000000,-3137.3031496062995,0.0,78.74015748031496
104,3,-250000,1000000,1254.9212598425197,0.0,78.74015748031496
105,3,0,1000000,-1254.9212598425197,0.0,78.74015748031496
106,3,250000,1000000,-1254.9212598425197,-1259.8425196850394,78.74015748031496
107,3,500000,1000000,-1882.3818897637796,-1259.8425196850394,78.74015748031496
108,3,750000,1000000,0.0,0.0,78.74015748031496
109,3,1000000,1000000,-627.46062992126,0.0,78.74015748031496
110,3,1250000,1000000,-627.4606299212599,-1259.8425196850394,78.74015748031496
111,3,-1250000,1250000,-3764.763779527559,-1259.8425196850394,78.74015748031496
112,3,-1000000,1250000,-3764.763779527559,-1259.8425196850394,78.74015748031496
113,3,-750000,1250000,-4392.224409448819,0.0,78.74015748031496
114,3,-500000,1250000,-3764.763779527559,-1259.8425196850394,78.74015748031496
115,3,-250000,1250000,-3764.763779527559,0.0,78.74015748031496
116,3,0,1250000,-5647.145669291339,-1259.8425196850394,78.74015748031496
117,3,250000,1250000,-1882.3818897637796,0.0,78.74015748031496
118,3,500000,1250000,-3764.763779527559,0.0,78.74015748031496
119,3,750000,1250000,-3137.3031496062995,0.0,78.74015748031496
120,3,1000000,1250000,-627.4606299212599,0.0,78.74015748031496
121,3,1250000,1250000,-3764.763779527559,0.0,78.74015748031496
